Pattern_name,total_count,ben_counts,mal_counts,ben_percent,mal_percent,percent_diff_ben,percent_diff_mal
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'),316,53,263,0.779411765,0.821875,0,0.042463235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'),318,54,264,0.794117647,0.825,0,0.030882353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegEnumValueW'),311,53,258,0.779411765,0.80625,0,0.026838235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegCloseKey'),323,55,268,0.808823529,0.8375,0,0.028676471
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'),323,55,268,0.808823529,0.8375,0,0.028676471
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'; 'RegOpenKeyExA'),323,54,269,0.794117647,0.840625,0,0.046507353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'; 'RegCloseKey'),323,54,269,0.794117647,0.840625,0,0.046507353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'),324,54,270,0.794117647,0.84375,0,0.049632353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegEnumValueW'; 'RegCloseKey'),311,53,258,0.779411765,0.80625,0,0.026838235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegEnumValueW'),311,53,258,0.779411765,0.80625,0,0.026838235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegQueryValueExW'),338,54,284,0.794117647,0.8875,0,0.093382353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegOpenKeyExW'),323,55,268,0.808823529,0.8375,0,0.028676471
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegOpenKeyExA'),324,54,270,0.794117647,0.84375,0,0.049632353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegEnumValueW'),311,53,258,0.779411765,0.80625,0,0.026838235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegCloseKey'),340,55,285,0.808823529,0.890625,0,0.081801471
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'LoadLibraryA'),319,52,267,0.764705882,0.834375,0,0.069669118
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'),342,56,286,0.823529412,0.89375,0,0.070220588
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'LoadLibraryA'),319,52,267,0.764705882,0.834375,0,0.069669118
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'),342,56,286,0.823529412,0.89375,0,0.070220588
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegQueryValueExW'),315,52,263,0.764705882,0.821875,0,0.057169118
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'),312,49,263,0.720588235,0.821875,0,0.101286765
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'),311,52,259,0.764705882,0.809375,0,0.044669118
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegCloseKey'),318,53,265,0.779411765,0.828125,0,0.048713235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'),318,53,265,0.779411765,0.828125,0,0.048713235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'),313,50,263,0.735294118,0.821875,0,0.086580882
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegCloseKey'),315,51,264,0.75,0.825,0,0.075
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'),315,51,264,0.75,0.825,0,0.075
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'; 'RegOpenKeyExA'),317,54,263,0.794117647,0.821875,0,0.027757353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'; 'RegCloseKey'),317,54,263,0.794117647,0.821875,0,0.027757353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'),318,54,264,0.794117647,0.825,0,0.030882353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegEnumValueW'; 'RegCloseKey'),312,53,259,0.779411765,0.809375,0,0.029963235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegEnumValueW'),312,53,259,0.779411765,0.809375,0,0.029963235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegCloseKey'; 'RegQueryValueExW'),316,52,264,0.764705882,0.825,0,0.060294118
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegCloseKey'; 'RegOpenKeyExW'),314,50,264,0.735294118,0.825,0,0.089705882
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegCloseKey'; 'RegOpenKeyExA'),318,54,264,0.794117647,0.825,0,0.030882353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegCloseKey'; 'RegCloseKey'),322,55,267,0.808823529,0.834375,0,0.025551471
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegCloseKey'),325,55,270,0.808823529,0.84375,0,0.034926471
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'),325,55,270,0.808823529,0.84375,0,0.034926471
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'; 'RegQueryValueExW'; 'RegCloseKey'),311,52,259,0.764705882,0.809375,0,0.044669118
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'; 'RegQueryValueExW'),311,52,259,0.764705882,0.809375,0,0.044669118
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'; 'RegOpenKeyExW'; 'RegCloseKey'),311,54,257,0.794117647,0.803125,0,0.009007353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'; 'RegOpenKeyExW'),311,54,257,0.794117647,0.803125,0,0.009007353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'; 'RegOpenKeyExA'; 'RegOpenKeyExA'),318,54,264,0.794117647,0.825,0,0.030882353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'; 'RegOpenKeyExA'; 'RegCloseKey'),318,54,264,0.794117647,0.825,0,0.030882353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'; 'RegOpenKeyExA'),323,54,269,0.794117647,0.840625,0,0.046507353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'; 'RegCloseKey'; 'RegOpenKeyExW'),311,54,257,0.794117647,0.803125,0,0.009007353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'; 'RegCloseKey'; 'RegOpenKeyExA'),322,54,268,0.794117647,0.8375,0,0.043382353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'; 'RegCloseKey'; 'RegCloseKey'),318,54,264,0.794117647,0.825,0,0.030882353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'; 'RegCloseKey'),324,54,270,0.794117647,0.84375,0,0.049632353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'),326,54,272,0.794117647,0.85,0,0.055882353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegEnumValueW'; 'RegCloseKey'),312,53,259,0.779411765,0.809375,0,0.029963235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegEnumValueW'),312,53,259,0.779411765,0.809375,0,0.029963235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegQueryValueExW'; 'RegQueryValueExW'),338,54,284,0.794117647,0.8875,0,0.093382353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegQueryValueExW'; 'RegOpenKeyExW'),323,55,268,0.808823529,0.8375,0,0.028676471
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegQueryValueExW'; 'RegOpenKeyExA'),324,54,270,0.794117647,0.84375,0,0.049632353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegQueryValueExW'; 'RegEnumValueW'),311,53,258,0.779411765,0.80625,0,0.026838235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegQueryValueExW'; 'RegCloseKey'),342,56,286,0.823529412,0.89375,0,0.070220588
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegQueryValueExW'; 'LoadLibraryA'),319,52,267,0.764705882,0.834375,0,0.069669118
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegQueryValueExW'),342,56,286,0.823529412,0.89375,0,0.070220588
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegOpenKeyExW'; 'RegQueryValueExW'),318,53,265,0.779411765,0.828125,0,0.048713235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegOpenKeyExW'; 'RegOpenKeyExW'),315,51,264,0.75,0.825,0,0.075
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegOpenKeyExW'; 'RegOpenKeyExA'),318,54,264,0.794117647,0.825,0,0.030882353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegOpenKeyExW'; 'RegEnumValueW'),312,53,259,0.779411765,0.809375,0,0.029963235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegOpenKeyExW'; 'RegCloseKey'),325,55,270,0.808823529,0.84375,0,0.034926471
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegOpenKeyExW'),325,55,270,0.808823529,0.84375,0,0.034926471
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegOpenKeyExA'; 'RegQueryValueExW'),311,52,259,0.764705882,0.809375,0,0.044669118
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegOpenKeyExA'; 'RegOpenKeyExW'),311,54,257,0.794117647,0.803125,0,0.009007353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegOpenKeyExA'; 'RegOpenKeyExA'),323,54,269,0.794117647,0.840625,0,0.046507353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegOpenKeyExA'; 'RegCloseKey'),324,54,270,0.794117647,0.84375,0,0.049632353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegOpenKeyExA'),326,54,272,0.794117647,0.85,0,0.055882353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegEnumValueW'; 'RegCloseKey'),312,53,259,0.779411765,0.809375,0,0.029963235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegEnumValueW'),312,53,259,0.779411765,0.809375,0,0.029963235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegCloseKey'; 'RegQueryValueExW'),338,54,284,0.794117647,0.8875,0,0.093382353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegCloseKey'; 'RegOpenKeyExW'),323,55,268,0.808823529,0.8375,0,0.028676471
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegCloseKey'; 'RegOpenKeyExA'),326,54,272,0.794117647,0.85,0,0.055882353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegCloseKey'; 'RegEnumValueW'),311,53,258,0.779411765,0.80625,0,0.026838235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegCloseKey'; 'RegCloseKey'),340,55,285,0.808823529,0.890625,0,0.081801471
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegCloseKey'; 'LoadLibraryA'),319,52,267,0.764705882,0.834375,0,0.069669118
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegCloseKey'),344,56,288,0.823529412,0.9,0,0.076470588
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'LoadLibraryA'; 'RegQueryValueExW'),311,51,260,0.75,0.8125,0,0.0625
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'LoadLibraryA'; 'RegOpenKeyExW'),311,52,259,0.764705882,0.809375,0,0.044669118
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'LoadLibraryA'; 'RegCloseKey'),314,52,262,0.764705882,0.81875,0,0.054044118
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'LoadLibraryA'),325,52,273,0.764705882,0.853125,0,0.088419118
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'),346,56,290,0.823529412,0.90625,0,0.082720588
('RegQueryValueExW'; 'RegQueryValueExW'; 'LoadLibraryA'; 'RegQueryValueExW'; 'RegCloseKey'),311,51,260,0.75,0.8125,0,0.0625
('RegQueryValueExW'; 'RegQueryValueExW'; 'LoadLibraryA'; 'RegQueryValueExW'),311,51,260,0.75,0.8125,0,0.0625
('RegQueryValueExW'; 'RegQueryValueExW'; 'LoadLibraryA'; 'RegOpenKeyExW'; 'RegCloseKey'),311,52,259,0.764705882,0.809375,0,0.044669118
('RegQueryValueExW'; 'RegQueryValueExW'; 'LoadLibraryA'; 'RegOpenKeyExW'),311,52,259,0.764705882,0.809375,0,0.044669118
('RegQueryValueExW'; 'RegQueryValueExW'; 'LoadLibraryA'; 'RegCloseKey'; 'RegQueryValueExW'),311,51,260,0.75,0.8125,0,0.0625
('RegQueryValueExW'; 'RegQueryValueExW'; 'LoadLibraryA'; 'RegCloseKey'; 'RegCloseKey'),313,52,261,0.764705882,0.815625,0,0.050919118
('RegQueryValueExW'; 'RegQueryValueExW'; 'LoadLibraryA'; 'RegCloseKey'),314,52,262,0.764705882,0.81875,0,0.054044118
('RegQueryValueExW'; 'RegQueryValueExW'; 'LoadLibraryA'),325,52,273,0.764705882,0.853125,0,0.088419118
('RegQueryValueExW'; 'RegQueryValueExW'),346,56,290,0.823529412,0.90625,0,0.082720588
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'),320,52,268,0.764705882,0.8375,0,0.072794118
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'),312,48,264,0.705882353,0.825,0,0.119117647
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'),312,51,261,0.75,0.815625,0,0.065625
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'),322,53,269,0.779411765,0.840625,0,0.061213235
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegQueryValueExW'),322,53,269,0.779411765,0.840625,0,0.061213235
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'),312,48,264,0.705882353,0.825,0,0.119117647
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'),311,48,263,0.705882353,0.821875,0,0.115992647
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'; 'RegCloseKey'),315,49,266,0.720588235,0.83125,0,0.110661765
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'),315,49,266,0.720588235,0.83125,0,0.110661765
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'; 'RegOpenKeyExA'),312,52,260,0.764705882,0.8125,0,0.047794118
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'; 'RegCloseKey'),314,52,262,0.764705882,0.81875,0,0.054044118
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'),315,52,263,0.764705882,0.821875,0,0.057169118
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegQueryValueExW'),322,53,269,0.779411765,0.840625,0,0.061213235
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegOpenKeyExW'),315,49,266,0.720588235,0.83125,0,0.110661765
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegOpenKeyExA'),315,52,263,0.764705882,0.821875,0,0.057169118
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'RegCloseKey'),325,54,271,0.794117647,0.846875,0,0.052757353
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegCloseKey'; 'LoadLibraryA'),314,50,264,0.735294118,0.825,0,0.089705882
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegCloseKey'),328,54,274,0.794117647,0.85625,0,0.062132353
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'LoadLibraryA'),314,50,264,0.735294118,0.825,0,0.089705882
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'),328,54,274,0.794117647,0.85625,0,0.062132353
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegQueryValueExW'),315,50,265,0.735294118,0.828125,0,0.092830882
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'),311,48,263,0.705882353,0.821875,0,0.115992647
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'; 'RegCloseKey'),317,50,267,0.735294118,0.834375,0,0.099080882
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'),317,50,267,0.735294118,0.834375,0,0.099080882
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegQueryValueExW'),312,49,263,0.720588235,0.821875,0,0.101286765
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegCloseKey'),312,49,263,0.720588235,0.821875,0,0.101286765
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'),313,49,264,0.720588235,0.825,0,0.104411765
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'; 'RegCloseKey'),311,50,261,0.735294118,0.815625,0,0.080330882
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'),311,50,261,0.735294118,0.815625,0,0.080330882
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegCloseKey'; 'RegQueryValueExW'),316,50,266,0.735294118,0.83125,0,0.095955882
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegCloseKey'; 'RegOpenKeyExW'),311,48,263,0.705882353,0.821875,0,0.115992647
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegCloseKey'; 'RegOpenKeyExA'),311,50,261,0.735294118,0.815625,0,0.080330882
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegCloseKey'; 'RegCloseKey'),318,51,267,0.75,0.834375,0,0.084375
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegCloseKey'),320,51,269,0.75,0.840625,0,0.090625
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExW'),321,51,270,0.75,0.84375,0,0.09375
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'; 'RegQueryValueExW'; 'RegCloseKey'),313,51,262,0.75,0.81875,0,0.06875
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'; 'RegQueryValueExW'),313,51,262,0.75,0.81875,0,0.06875
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'; 'RegOpenKeyExW'),311,50,261,0.735294118,0.815625,0,0.080330882
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'; 'RegOpenKeyExA'; 'RegOpenKeyExA'),317,54,263,0.794117647,0.821875,0,0.027757353
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'; 'RegOpenKeyExA'; 'RegCloseKey'),317,54,263,0.794117647,0.821875,0,0.027757353
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'; 'RegOpenKeyExA'),318,54,264,0.794117647,0.825,0,0.030882353
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'; 'RegCloseKey'; 'RegQueryValueExW'),312,51,261,0.75,0.815625,0,0.065625
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'; 'RegCloseKey'; 'RegOpenKeyExA'),317,54,263,0.794117647,0.821875,0,0.027757353
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'; 'RegCloseKey'; 'RegCloseKey'),320,54,266,0.794117647,0.83125,0,0.037132353
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'; 'RegCloseKey'),323,54,269,0.794117647,0.840625,0,0.046507353
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'),325,54,271,0.794117647,0.846875,0,0.052757353
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegEnumValueW'; 'RegOpenKeyExA'; 'RegCloseKey'),312,53,259,0.779411765,0.809375,0,0.029963235
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegEnumValueW'; 'RegOpenKeyExA'),313,53,260,0.779411765,0.8125,0,0.033088235
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegEnumValueW'; 'RegCloseKey'; 'RegOpenKeyExA'),313,53,260,0.779411765,0.8125,0,0.033088235
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegEnumValueW'; 'RegCloseKey'; 'RegCloseKey'),313,53,260,0.779411765,0.8125,0,0.033088235
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegEnumValueW'; 'RegCloseKey'),315,53,262,0.779411765,0.81875,0,0.039338235
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegEnumValueW'),315,53,262,0.779411765,0.81875,0,0.039338235
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegCloseKey'; 'RegQueryValueExW'; 'RegQueryValueExW'),320,52,268,0.764705882,0.8375,0,0.072794118
('RegQueryValueExW'; 'RegOpenKeyExW'; 'RegCloseKey'; 'RegQueryValueExW'; 'RegOpenKeyExW'),312,48,264,0.705882353,0.825,0,0.119117647
