RegCreateKeyExW, RegSetValueExW
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),109,109,0
('RegCloseKey'; 'GetFullPathNameW'),135,135,0
('RegEnumKeyW'; 'GetFileAttributesW'),130,130,0
('GetCurrentThreadId'; 'GetLongPathNameW'),129,129,0
('GetFullPathNameW'; 'LoadLibraryExW'),127,127,0
('GetCurrentThreadId'; 'GetFullPathNameW'),135,135,0
('GetFullPathNameW'; 'RegSetValueExW'),132,132,0
('GetLongPathNameW'; 'GlobalFree'),124,124,0
('GlobalSize'; 'GetLongPathNameW'),124,124,0
('RegOpenKeyExW'; 'GetFileAttributesW'),139,139,0
('RegOpenKeyExA'; 'GetLongPathNameW'),129,129,0
('GetCurrentProcessId'; 'GetFileAttributesW'),139,139,0
('GetLongPathNameW'; 'IsBadStringPtrW'),126,126,0
('GetFullPathNameW'; 'HeapFree'),135,135,0
('GetLongPathNameW'; 'RegCloseKey'),129,129,0
('GlobalSize'; 'GetFullPathNameW'),123,123,0
('RegOpenKeyExA'; 'GetFullPathNameW'),134,134,0
('GetFullPathNameW'; 'GetCurrentThread'),132,132,0
('GetFullPathNameW'; 'GlobalFree'),127,127,0
('GetCurrentThread'; 'GetLongPathNameW'),129,129,0
('GetFullPathNameW'; 'GetLongPathNameW'),127,127,0
('GetFullPathNameW'; 'IsBadStringPtrW'),132,132,0
('GetFullPathNameW'; 'RegCloseKey'),134,134,0
('GetCurrentThread'; 'GetFullPathNameW'),131,131,0
('GlobalAlloc'; 'GetFileAttributesW'),132,132,0
('RegEnumValueW'; 'GetFullPathNameW'),131,131,0
('RegSetValueExW'; 'GetEnvironmentVariableW'),160,134,26
('RegQueryValueExW'; 'GetFileAttributesW'),139,139,0
('RegEnumKeyW'; 'GetLongPathNameW'),128,128,0
('GetLongPathNameW'; 'RegQueryValueExW'),128,128,0
('RegEnumKeyW'; 'GetFullPathNameW'),129,129,0
('HeapFree'; 'GetFileAttributesW'),139,139,0
('GetFileAttributesW'; 'HeapAlloc'),139,139,0
('GetFileAttributesW'; 'IsBadReadPtr'),132,132,0
('GetFullPathNameW'; 'RegQueryValueExW'),134,134,0
('GetFullPathNameW'; 'RegOpenKeyExW'),132,132,0
('GetLongPathNameW'; 'LoadLibraryA'),128,128,0
('RegOpenKeyExW'; 'GetLongPathNameW'),129,129,0
('HeapAlloc'; 'GetFileAttributesW'),139,139,0
('GetLongPathNameW'; 'LocalFree'),129,129,0
('GetFullPathNameW'; 'LoadLibraryA'),132,132,0
('RegOpenKeyExW'; 'GetFullPathNameW'),135,135,0
('GetFileAttributesW'; 'GetEnvironmentVariableW'),135,135,0
('GetCurrentProcessId'; 'GetFullPathNameW'),135,135,0
('GetFullPathNameW'; 'LocalFree'),134,134,0
('GetFileAttributesW'; 'LoadLibraryA'),137,137,0
('GlobalAlloc'; 'GetFullPathNameW'),128,128,0
('RegSetValueExW'; 'GetFileAttributesW'),137,137,0
('IsBadStringPtrW'; 'GetFileAttributesW'),135,135,0
('IsBadWritePtr'; 'GetFileAttributesW'),136,136,0
('RegQueryValueExW'; 'GetLongPathNameW'),129,129,0
('GetLongPathNameW'; 'LocalAlloc'),129,129,0
('RegQueryValueExW'; 'GetFullPathNameW'),135,135,0
('HeapFree'; 'GetLongPathNameW'),129,129,0
('GetFullPathNameW'; 'GetCurrentThreadId'),134,134,0
('GetFileAttributesW'; 'GlobalUnlock'),127,127,0
('GetFullPathNameW'; 'LocalAlloc'),134,134,0
('HeapFree'; 'GetFullPathNameW'),135,135,0
('GetFullPathNameW'; 'GetFileAttributesW'),132,132,0
('GlobalReAlloc'; 'GetLongPathNameW'),125,125,0
('GetFileAttributesW'; 'LocalAlloc'),139,139,0
('HeapAlloc'; 'GetLongPathNameW'),129,129,0
('GetFileAttributesW'; 'GetFileAttributesW'),137,137,0
('HeapAlloc'; 'GetFullPathNameW'),135,135,0
('GetLongPathNameW'; 'RegSetValueExW'),128,128,0
('GetLongPathNameW'; 'HeapFree'),129,129,0
('RegSetValueExW'; 'GetLongPathNameW'),129,129,0
('IsBadStringPtrW'; 'GetLongPathNameW'),126,126,0
('IsBadWritePtr'; 'GetLongPathNameW'),129,129,0
('GetLongPathNameW'; 'GetCurrentThread'),128,128,0
('RegSetValueExW'; 'GetFullPathNameW'),131,131,0
('IsBadStringPtrW'; 'GetFullPathNameW'),132,132,0
('GetFileAttributesW'; 'LoadLibraryExW'),128,128,0
('GetFullPathNameW'; 'CreateProcessW'),127,127,0
('IsBadWritePtr'; 'GetFullPathNameW'),135,135,0
('GetLongPathNameW'; 'GetCurrentProcessId'),127,127,0
('GetFileAttributesW'; 'RegSetValueExW'),139,139,0
('GetFileAttributesW'; 'CreateProcessW'),129,129,0
('GetFullPathNameW'; 'GetCurrentProcessId'),132,132,0
('GetFileAttributesW'; 'HeapFree'),139,139,0
('GlobalFree'; 'GetFileAttributesW'),127,127,0
('GetFullPathNameW'; 'GetFullPathNameW'),128,128,0
('GlobalReAlloc'; 'GetProcAddress'),116,79,37
('GetFileAttributesW'; 'GetCurrentThread'),138,138,0
('GetFileAttributesW'; 'GlobalFree'),134,134,0
('GetFileAttributesW'; 'GetLongPathNameW'),129,129,0
('GetFileAttributesW'; 'GetCurrentProcessId'),135,135,0
('GetFileAttributesW'; 'IsBadStringPtrW'),129,129,0
('GetFileAttributesW'; 'RegCloseKey'),139,139,0
('GetFileAttributesW'; 'GetFullPathNameW'),129,129,0
('GetLongPathNameW'; 'RegOpenKeyExW'),129,129,0
('GlobalReAlloc'; 'GetFileAttributesW'),125,125,0
('LoadLibraryExW'; 'GetLongPathNameW'),123,123,0
('GetFileAttributesW'; 'RegQueryValueExW'),138,138,0
('IsBadReadPtr'; 'GetFileAttributesW'),136,136,0
('GetFileAttributesW'; 'RegOpenKeyExW'),138,138,0
('GlobalFree'; 'GetLongPathNameW'),125,125,0
('GlobalFree'; 'GetFullPathNameW'),125,125,0
('GetLongPathNameW'; 'GetCurrentThreadId'),128,128,0
('GetFileAttributesW'; 'LocalFree'),139,139,0
('GetFullPathNameW'; 'RegOpenKeyExA'),133,133,0
('RegQueryValueW'; 'GetFileAttributesW'),131,131,0
('GlobalLock'; 'GetFileAttributesW'),126,126,0
('LoadLibraryA'; 'GlobalFree'),115,73,42
('GetFileAttributesW'; 'GetCurrentThreadId'),139,139,0
('GlobalReAlloc'; 'GetFullPathNameW'),126,126,0
('GetFileAttributesW'; 'RegEnumValueW'),135,135,0
('IsBadReadPtr'; 'GetLongPathNameW'),129,129,0
