('RegCreateKeyExW'; 'IsBadStringPtrW'),176,131,45
('RegQueryValueW'; 'GetLongPathNameW'),126,126,0
('IsBadStringPtrW'; 'GetLongPathNameW'),124,124,0
('GetFileAttributesW'; 'GetFileAttributesW'),127,127,0
('GetLongPathNameW'; 'GetCurrentThreadId'),126,126,0
('GetFullPathNameW'; 'GlobalFree'),125,125,0
('GlobalFree'; 'GetFullPathNameW'),124,124,0
('GetFileAttributesW'; 'GlobalUnlock'),124,124,0
('GetFullPathNameW'; 'RegOpenKeyExW'),128,128,0
('GetFullPathNameW'; 'RegCloseKey'),130,130,0
('GlobalFree'; 'GetFileAttributesW'),125,125,0
('RegOpenKeyExA'; 'GetLongPathNameW'),126,126,0
('GetFileAttributesW'; 'GetEnvironmentVariableW'),127,127,0
('RegSetValueExW'; 'GetFullPathNameW'),128,128,0
('GetLongPathNameW'; 'RegSetValueExW'),126,126,0
('LocalFree'; 'GetLongPathNameW'),126,126,0
('GlobalFree'; 'GetLongPathNameW'),124,124,0
('GlobalLock'; 'GetFileAttributesW'),124,124,0
('GetFullPathNameW'; 'HeapFree'),130,130,0
('GetLongPathNameW'; 'LocalAlloc'),126,126,0
('IsBadReadPtr'; 'GetFullPathNameW'),130,130,0
('IsBadReadPtr'; 'GetFileAttributesW'),128,128,0
('GlobalLock'; 'GetLongPathNameW'),124,124,0
('GetLongPathNameW'; 'GlobalUnlock'),124,124,0
('GlobalSize'; 'GetFullPathNameW'),123,123,0
('RegEnumValueW'; 'GetFullPathNameW'),128,128,0
('GlobalSize'; 'GetFileAttributesW'),124,124,0
('RegSetValueExW'; 'GetEnvironmentVariableW'),153,127,26
('RegEnumValueW'; 'GetFileAttributesW'),128,128,0
('GetFileAttributesW'; 'CreateProcessW'),126,126,0
('GetLongPathNameW'; 'LoadLibraryA'),125,125,0
('GlobalSize'; 'GetLongPathNameW'),124,124,0
('GetFullPathNameW'; 'GetFileAttributesW'),127,127,0
('LocalAlloc'; 'GetFullPathNameW'),130,130,0
('GetFullPathNameW'; 'LoadLibraryExW'),123,123,0
('GetFullPathNameW'; 'GetLongPathNameW'),125,125,0
('GetFileAttributesW'; 'RegQueryValueExW'),127,127,0
('GetCurrentProcessId'; 'GetFullPathNameW'),130,130,0
('GetFileAttributesW'; 'HeapAlloc'),128,128,0
('RegOpenKeyExW'; 'GetFileAttributesW'),128,128,0
('GetCurrentProcessId'; 'GetFileAttributesW'),128,128,0
('GetFullPathNameW'; 'RegOpenKeyExA'),129,129,0
('RegSetValueExW'; 'GlobalSize'),149,124,25
('RegQueryValueExW'; 'GetFullPathNameW'),130,130,0
('GlobalAlloc'; 'GetFullPathNameW'),127,127,0
('RegQueryValueExW'; 'GetFileAttributesW'),128,128,0
('RegOpenKeyExW'; 'GetLongPathNameW'),126,126,0
('GetCurrentProcessId'; 'GetLongPathNameW'),126,126,0
('RegQueryValueW'; 'GetFullPathNameW'),125,125,0
('GlobalAlloc'; 'GetFileAttributesW'),125,125,0
('GetFileAttributesW'; 'GetCurrentThreadId'),128,128,0
('RegQueryValueW'; 'GetFileAttributesW'),126,126,0
('GetFullPathNameW'; 'IsBadStringPtrW'),130,130,0
('GetFullPathNameW'; 'LocalFree'),130,130,0
('RegQueryValueExW'; 'GetLongPathNameW'),126,126,0
('GetFullPathNameW'; 'GetCurrentThread'),128,128,0
('GlobalAlloc'; 'GetLongPathNameW'),124,124,0
