('LoadLibraryA'; 'LoadLibraryA'),248,192,56
('GlobalUnlock'; 'GetLongPathNameW'),111,111,0
('RegQueryValueExW'; 'OpenProcess'),102,67,35
('GlobalReAlloc'; 'SetThreadPriority'),101,67,34
('GlobalAlloc'; 'OpenProcess'),102,67,35
('GetLongPathNameW'; 'RegOpenKeyExA'),114,114,0
('SetThreadPriority'; 'LocalFree'),104,70,34
('SetThreadPriority'; 'GetCurrentThread'),103,70,33
('GetCurrentThreadId'; 'SetThreadPriority'),106,72,34
('GetCurrentThread'; 'SetThreadPriority'),104,70,34
('GetFullPathNameW'; 'GlobalUnlock'),113,113,0
('RegOpenKeyExW'; 'GetFullPathNameW'),144,144,0
('GetFileAttributesW'; 'RegCloseKey'),131,131,0
('GetLongPathNameW'; 'IsBadStringPtrW'),113,113,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),120,120,0
('CreateProcessW'; 'GetLongPathNameW'),109,109,0
('GetLongPathNameW'; 'GetCurrentThread'),112,112,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),123,123,0
('OpenProcess'; 'LocalFree'),101,66,35
('GetCurrentThreadId'; 'OpenProcess'),106,71,35
('SetThreadPriority'; 'IsBadWritePtr'),102,69,33
('SetThreadPriority'; 'RegOpenKeyExW'),104,70,34
('GetFileAttributesW'; 'HeapFree'),139,139,0
('RegEnumKeyW'; 'SetThreadPriority'),101,67,34
('GetEnvironmentVariableW'; 'GetLongPathNameW'),116,116,0
('SetThreadPriority'; 'IsBadReadPtr'),102,69,33
('GlobalReAlloc'; 'GetFullPathNameW'),112,112,0
('GetLongPathNameW'; 'GlobalFree'),109,109,0
('GetLongPathNameW'; 'RegOpenKeyExW'),121,121,0
('GlobalReAlloc'; 'GetFileAttributesW'),109,109,0
('GlobalUnlock'; 'SetThreadPriority'),101,67,34
('GetCurrentThreadId'; 'GetFullPathNameW'),144,144,0
('HeapFree'; 'OpenProcess'),106,71,35
('OpenProcess'; 'IsBadWritePtr'),101,66,35
('GetFileAttributesW'; 'GetCurrentProcessId'),131,131,0
('GetCurrentThread'; 'GetFullPathNameW'),129,129,0
('GetFullPathNameW'; 'CreateProcessW'),112,112,0
('GetCurrentThread'; 'GetFileAttributesW'),133,133,0
('HeapAlloc'; 'OpenProcess'),106,71,35
('GetFileAttributesW'; 'LoadLibraryExW'),121,121,0
('GetFileAttributesW'; 'GetLongPathNameW'),121,121,0
('HeapFree'; 'GetFullPathNameW'),144,144,0
('GetFullPathNameW'; 'RegQueryValueExW'),139,139,0
('RegEnumKeyW'; 'GetFullPathNameW'),114,114,0
('CreateProcessW'; 'SetThreadPriority'),101,67,34
('HeapFree'; 'GetFileAttributesW'),139,139,0
('GetFullPathNameW'; 'HeapAlloc'),144,144,0
('RegEnumKeyW'; 'GetFileAttributesW'),114,114,0
('GetFileAttributesW'; 'RegOpenKeyExA'),125,125,0
('OpenProcess'; 'GetCurrentThreadId'),101,66,35
('GetEnvironmentVariableW'; 'SetThreadPriority'),102,68,34
('RegOpenKeyExA'; 'ReadFile'),119,112,7
('RegSetValueExW'; 'GetFileAttributesW'),121,121,0
('GetFullPathNameW'; 'GetCurrentThreadId'),139,139,0
('GetFileAttributesW'; 'IsBadStringPtrW'),116,116,0
('GetFileAttributesW'; 'LocalFree'),131,131,0
('RegSetValueExW'; 'GetLongPathNameW'),113,113,0
('GetFileAttributesW'; 'GetCurrentThread'),129,129,0
('RegCloseKey'; 'SetThreadPriority'),103,69,34
('OpenProcess'; 'LocalAlloc'),101,66,35
('IsBadWritePtr'; 'SetThreadPriority'),102,68,34
('GetEnvironmentVariableW'; 'OpenProcess'),104,69,35
('GlobalSize'; 'RegCreateKeyExW'),112,78,34
('IsBadReadPtr'; 'GetLongPathNameW'),115,115,0
('GetFullPathNameW'; 'LocalAlloc'),141,141,0
('IsBadStringPtrW'; 'SetThreadPriority'),102,68,34
('GetFullPathNameW'; 'GetCurrentProcessId'),133,133,0
('GetFileAttributesW'; 'GlobalFree'),120,120,0
('GetFileAttributesW'; 'IsBadWritePtr'),120,120,0
('GetFileAttributesW'; 'RegOpenKeyExW'),130,130,0
('RegEnumValueW'; 'GetLongPathNameW'),114,114,0
('GetLongPathNameW'; 'LocalFree'),121,121,0
('OpenProcess'; 'LoadLibraryA'),101,67,34
('GetFileAttributesW'; 'IsBadReadPtr'),120,120,0
('LocalAlloc'; 'GetFileAttributesW'),138,138,0
('GetFullPathNameW'; 'LoadLibraryA'),137,137,0
('LocalAlloc'; 'GetLongPathNameW'),121,121,0
('GetCurrentThread'; 'OpenProcess'),104,69,35
('RegCloseKey'; 'GetFullPathNameW'),144,144,0
('IsBadWritePtr'; 'GetFullPathNameW'),141,141,0
('RegCloseKey'; 'GetFileAttributesW'),139,139,0
('IsBadWritePtr'; 'GetFileAttributesW'),129,129,0
('SetThreadPriority'; 'RegQueryValueExW'),103,69,34
('RegSetValueExW'; 'GlobalReAlloc'),124,108,16
('RegSetValueExW'; 'SetThreadPriority'),102,68,34
('GetLongPathNameW'; 'IsBadWritePtr'),113,113,0
('IsBadStringPtrW'; 'GetFullPathNameW'),139,139,0
('SetThreadPriority'; 'HeapAlloc'),104,70,34
('RegCreateKeyExW'; 'IsBadStringPtrW'),111,77,34
('GetLongPathNameW'; 'IsBadReadPtr'),114,114,0
('RegCloseKey'; 'GetLongPathNameW'),121,121,0
('IsBadWritePtr'; 'GetLongPathNameW'),115,115,0
('IsBadStringPtrW'; 'GetFileAttributesW'),128,128,0
('IsBadReadPtr'; 'SetThreadPriority'),102,68,34
('GetFileAttributesW'; 'GetFullPathNameW'),129,129,0
('RegQueryValueW'; 'GetLongPathNameW'),112,112,0
('IsBadStringPtrW'; 'GetLongPathNameW'),113,113,0
('SetThreadPriority'; 'GetCurrentThreadId'),104,70,34
('GetFileAttributesW'; 'GetFileAttributesW'),126,126,0
('GlobalSize'; 'SetThreadPriority'),101,67,34
('OpenProcess'; 'HeapAlloc'),104,69,35
('RegEnumValueW'; 'SetThreadPriority'),101,67,34
('OpenProcess'; 'RegCloseKey'),103,68,35
('GetLongPathNameW'; 'GetCurrentThreadId'),117,117,0
('GetFullPathNameW'; 'GlobalFree'),115,115,0
('GlobalFree'; 'GetFullPathNameW'),113,113,0
('GetFileAttributesW'; 'GlobalUnlock'),113,113,0
('GetFullPathNameW'; 'RegOpenKeyExW'),127,127,0
('GetFullPathNameW'; 'RegCloseKey'),139,139,0
('SetThreadPriority'; 'LocalAlloc'),104,70,34
('GlobalFree'; 'GetFileAttributesW'),114,114,0
('RegOpenKeyExA'; 'GetLongPathNameW'),120,120,0
('LocalAlloc'; 'SetThreadPriority'),102,68,34
('GetFileAttributesW'; 'GetEnvironmentVariableW'),120,120,0
('RegSetValueExW'; 'GetFullPathNameW'),116,116,0
('OpenProcess'; 'HeapFree'),104,69,35
('GetLongPathNameW'; 'RegSetValueExW'),112,112,0
('LocalFree'; 'GetLongPathNameW'),121,121,0
('GlobalFree'; 'GetLongPathNameW'),111,111,0
('GlobalLock'; 'GetFileAttributesW'),113,113,0
('GetFullPathNameW'; 'HeapFree'),144,144,0
('GetLongPathNameW'; 'LocalAlloc'),121,121,0
('IsBadReadPtr'; 'GetFullPathNameW'),141,141,0
('GetCurrentProcessId'; 'SetThreadPriority'),102,68,34
('IsBadReadPtr'; 'GetFileAttributesW'),129,129,0
('GlobalLock'; 'GetLongPathNameW'),111,111,0
('LocalAlloc'; 'OpenProcess'),106,71,35
('RegQueryValueExW'; 'SetThreadPriority'),102,68,34
('SetThreadPriority'; 'LoadLibraryA'),100,68,32
('GetLongPathNameW'; 'GlobalUnlock'),108,108,0
('GlobalSize'; 'GetFullPathNameW'),108,108,0
('GlobalAlloc'; 'SetThreadPriority'),102,68,34
('RegQueryValueW'; 'SetThreadPriority'),101,67,34
('RegEnumValueW'; 'GetFullPathNameW'),130,130,0
('GlobalSize'; 'GetFileAttributesW'),109,109,0
('RegSetValueExW'; 'GetEnvironmentVariableW'),135,118,17
('RegEnumValueW'; 'GetFileAttributesW'),130,130,0
('GetFileAttributesW'; 'CreateProcessW'),113,113,0
('GetLongPathNameW'; 'LoadLibraryA'),121,121,0
('GlobalSize'; 'GetLongPathNameW'),108,108,0
('RegCloseKey'; 'OpenProcess'),106,71,35
('GetFullPathNameW'; 'GetFileAttributesW'),128,128,0
('LocalAlloc'; 'GetFullPathNameW'),144,144,0
('GetFullPathNameW'; 'LoadLibraryExW'),121,121,0
('GetFullPathNameW'; 'GetLongPathNameW'),116,116,0
('RegOpenKeyExA'; 'SetThreadPriority'),103,69,34
('GetFileAttributesW'; 'RegQueryValueExW'),130,130,0
('GetCurrentProcessId'; 'GetFullPathNameW'),141,141,0
('GetFileAttributesW'; 'HeapAlloc'),139,139,0
('RegOpenKeyExW'; 'GetFileAttributesW'),138,138,0
('GetCurrentProcessId'; 'GetFileAttributesW'),134,134,0
('LocalFree'; 'SetThreadPriority'),102,68,34
('GlobalFree'; 'SetThreadPriority'),102,68,34
('GetFullPathNameW'; 'RegOpenKeyExA'),129,129,0
('RegSetValueExW'; 'GlobalSize'),125,109,16
('RegSetValueExW'; 'RegEnumValueW'),139,119,20
('RegQueryValueExW'; 'GetFullPathNameW'),144,144,0
('GlobalAlloc'; 'GetFullPathNameW'),118,118,0
('RegQueryValueExW'; 'GetFileAttributesW'),137,137,0
('RegOpenKeyExW'; 'GetLongPathNameW'),120,120,0
('GetCurrentProcessId'; 'GetLongPathNameW'),116,116,0
('RegQueryValueW'; 'GetFullPathNameW'),112,112,0
('GlobalAlloc'; 'GetFileAttributesW'),121,121,0
('RegOpenKeyExA'; 'OpenProcess'),105,70,35
('GetFileAttributesW'; 'GetCurrentThreadId'),135,135,0
('GlobalLock'; 'SetThreadPriority'),101,67,34
('SetThreadPriority'; 'RegCloseKey'),104,70,34
('RegQueryValueW'; 'GetFileAttributesW'),115,115,0
('GetFullPathNameW'; 'IsBadStringPtrW'),130,130,0
('GetFullPathNameW'; 'LocalFree'),142,142,0
('RegQueryValueExW'; 'GetLongPathNameW'),119,119,0
('GetFullPathNameW'; 'GetCurrentThread'),126,126,0
('GlobalAlloc'; 'GetLongPathNameW'),113,113,0
('LocalFree'; 'OpenProcess'),106,71,35
('GlobalFree'; 'OpenProcess'),101,66,35
('HeapAlloc'; 'SetThreadPriority'),105,71,34
