('SetThreadPriority'; 'RegQueryValueExW'),162,117,45
('IsBadStringPtrW'; 'GetLongPathNameW'),112,112,0
('GetFileAttributesW'; 'GetFileAttributesW'),116,116,0
('GetLongPathNameW'; 'GetCurrentThreadId'),114,114,0
('GetFullPathNameW'; 'GlobalFree'),114,114,0
('GlobalFree'; 'GetFullPathNameW'),114,114,0
('GetFileAttributesW'; 'GlobalUnlock'),114,114,0
('GetFullPathNameW'; 'RegOpenKeyExW'),115,115,0
('GetFullPathNameW'; 'RegCloseKey'),115,115,0
('GlobalFree'; 'GetFileAttributesW'),116,116,0
('RegOpenKeyExA'; 'GetLongPathNameW'),114,114,0
('GetFileAttributesW'; 'GetEnvironmentVariableW'),115,115,0
('RegSetValueExW'; 'GetFullPathNameW'),114,114,0
('GetLongPathNameW'; 'RegSetValueExW'),114,114,0
('LocalFree'; 'GetLongPathNameW'),114,114,0
('GlobalFree'; 'GetLongPathNameW'),114,114,0
('GlobalLock'; 'GetFileAttributesW'),114,114,0
('GetFullPathNameW'; 'HeapFree'),115,115,0
('GetLongPathNameW'; 'LocalAlloc'),114,114,0
('IsBadReadPtr'; 'GetFullPathNameW'),115,115,0
('IsBadReadPtr'; 'GetFileAttributesW'),115,115,0
('GlobalLock'; 'GetLongPathNameW'),114,114,0
('GetLongPathNameW'; 'GlobalUnlock'),114,114,0
('GlobalSize'; 'GetFullPathNameW'),113,113,0
('RegEnumValueW'; 'GetFullPathNameW'),114,114,0
('GlobalSize'; 'GetFileAttributesW'),114,114,0
('RegEnumValueW'; 'GetFileAttributesW'),115,115,0
('GetFileAttributesW'; 'CreateProcessW'),114,114,0
('GetLongPathNameW'; 'LoadLibraryA'),114,114,0
('GlobalSize'; 'GetLongPathNameW'),114,114,0
('GetFullPathNameW'; 'GetFileAttributesW'),114,114,0
('LocalAlloc'; 'GetFullPathNameW'),115,115,0
('GetFullPathNameW'; 'LoadLibraryExW'),110,110,0
('GetFullPathNameW'; 'GetLongPathNameW'),113,113,0
('GetFileAttributesW'; 'RegQueryValueExW'),115,115,0
('GetCurrentProcessId'; 'GetFullPathNameW'),115,115,0
('GetFileAttributesW'; 'HeapAlloc'),116,116,0
('RegOpenKeyExW'; 'GetFileAttributesW'),116,116,0
('GetCurrentProcessId'; 'GetFileAttributesW'),116,116,0
('GetFullPathNameW'; 'RegOpenKeyExA'),115,115,0
('RegQueryValueExW'; 'GetFullPathNameW'),115,115,0
('GlobalAlloc'; 'GetFullPathNameW'),115,115,0
('RegQueryValueExW'; 'GetFileAttributesW'),116,116,0
('RegOpenKeyExW'; 'GetLongPathNameW'),114,114,0
('GetCurrentProcessId'; 'GetLongPathNameW'),114,114,0
('RegQueryValueW'; 'GetFullPathNameW'),113,113,0
('GlobalAlloc'; 'GetFileAttributesW'),116,116,0
('GetFileAttributesW'; 'GetCurrentThreadId'),115,115,0
('RegQueryValueW'; 'GetFileAttributesW'),114,114,0
('GetFullPathNameW'; 'IsBadStringPtrW'),115,115,0
('GetFullPathNameW'; 'LocalFree'),115,115,0
('RegQueryValueExW'; 'GetLongPathNameW'),114,114,0
('GetFullPathNameW'; 'GetCurrentThread'),115,115,0
('GlobalAlloc'; 'GetLongPathNameW'),114,114,0
