('SetThreadPriority'; 'SetThreadPriority'),157,113,44
('GetFullPathNameW'; 'HeapAlloc'),111,111,0
('RegEnumKeyW'; 'GetFileAttributesW'),112,112,0
('GetFileAttributesW'; 'RegOpenKeyExA'),112,112,0
('RegOpenKeyExA'; 'ReadFile'),89,89,0
('RegSetValueExW'; 'GetFileAttributesW'),112,112,0
('GetFullPathNameW'; 'GetCurrentThreadId'),111,111,0
('GetFileAttributesW'; 'IsBadStringPtrW'),112,112,0
('GetFileAttributesW'; 'LocalFree'),112,112,0
('RegSetValueExW'; 'GetLongPathNameW'),112,112,0
('GetProcAddress'; 'GetProcAddress'),83,50,33
('GetFileAttributesW'; 'GetCurrentThread'),112,112,0
('IsBadReadPtr'; 'GetLongPathNameW'),112,112,0
('GetFullPathNameW'; 'LocalAlloc'),111,111,0
('GetFullPathNameW'; 'GetCurrentProcessId'),111,111,0
('GetFileAttributesW'; 'GlobalFree'),112,112,0
('GetFileAttributesW'; 'IsBadWritePtr'),112,112,0
('GetFileAttributesW'; 'RegOpenKeyExW'),112,112,0
('RegEnumValueW'; 'GetLongPathNameW'),112,112,0
('GetLongPathNameW'; 'LocalFree'),112,112,0
('GetFileAttributesW'; 'IsBadReadPtr'),112,112,0
('LocalAlloc'; 'GetFileAttributesW'),112,112,0
('GetFullPathNameW'; 'LoadLibraryA'),110,110,0
('LocalAlloc'; 'GetLongPathNameW'),112,112,0
('RegCloseKey'; 'GetFullPathNameW'),111,111,0
('IsBadWritePtr'; 'GetFullPathNameW'),111,111,0
('RegCloseKey'; 'GetFileAttributesW'),112,112,0
('IsBadWritePtr'; 'GetFileAttributesW'),112,112,0
('GetLongPathNameW'; 'IsBadWritePtr'),112,112,0
('IsBadStringPtrW'; 'GetFullPathNameW'),109,109,0
('GetLongPathNameW'; 'IsBadReadPtr'),112,112,0
('RegCloseKey'; 'GetLongPathNameW'),112,112,0
('IsBadWritePtr'; 'GetLongPathNameW'),112,112,0
('IsBadStringPtrW'; 'GetFileAttributesW'),112,112,0
('GetFileAttributesW'; 'GetFullPathNameW'),111,111,0
('RegQueryValueW'; 'GetLongPathNameW'),112,112,0
('IsBadStringPtrW'; 'GetLongPathNameW'),110,110,0
('GetFileAttributesW'; 'GetFileAttributesW'),112,112,0
('GetLongPathNameW'; 'GetCurrentThreadId'),112,112,0
('GetFullPathNameW'; 'GlobalFree'),111,111,0
('GlobalFree'; 'GetFullPathNameW'),111,111,0
('GetFileAttributesW'; 'GlobalUnlock'),112,112,0
('GetFullPathNameW'; 'RegOpenKeyExW'),111,111,0
('GetFullPathNameW'; 'RegCloseKey'),111,111,0
('GlobalFree'; 'GetFileAttributesW'),112,112,0
('RegOpenKeyExA'; 'GetLongPathNameW'),112,112,0
('GetFileAttributesW'; 'GetEnvironmentVariableW'),112,112,0
('RegSetValueExW'; 'GetFullPathNameW'),111,111,0
('GetLongPathNameW'; 'RegSetValueExW'),112,112,0
('LocalFree'; 'GetLongPathNameW'),112,112,0
('GlobalFree'; 'GetLongPathNameW'),112,112,0
('GlobalLock'; 'GetFileAttributesW'),112,112,0
('GetFullPathNameW'; 'HeapFree'),111,111,0
('GetLongPathNameW'; 'LocalAlloc'),112,112,0
('IsBadReadPtr'; 'GetFullPathNameW'),111,111,0
('IsBadReadPtr'; 'GetFileAttributesW'),112,112,0
('GlobalLock'; 'GetLongPathNameW'),112,112,0
('GetLongPathNameW'; 'GlobalUnlock'),112,112,0
('GlobalSize'; 'GetFullPathNameW'),111,111,0
('RegEnumValueW'; 'GetFullPathNameW'),111,111,0
('GlobalSize'; 'GetFileAttributesW'),112,112,0
('RegEnumValueW'; 'GetFileAttributesW'),112,112,0
('GetFileAttributesW'; 'CreateProcessW'),112,112,0
('GetLongPathNameW'; 'LoadLibraryA'),111,111,0
('GlobalSize'; 'GetLongPathNameW'),112,112,0
('GetFullPathNameW'; 'GetFileAttributesW'),111,111,0
('LocalAlloc'; 'GetFullPathNameW'),111,111,0
('GetFullPathNameW'; 'LoadLibraryExW'),108,108,0
('GetFullPathNameW'; 'GetLongPathNameW'),111,111,0
('GetFileAttributesW'; 'RegQueryValueExW'),112,112,0
('GetCurrentProcessId'; 'GetFullPathNameW'),111,111,0
('GetFileAttributesW'; 'HeapAlloc'),112,112,0
('RegOpenKeyExW'; 'GetFileAttributesW'),112,112,0
('GetCurrentProcessId'; 'GetFileAttributesW'),112,112,0
('GetFullPathNameW'; 'RegOpenKeyExA'),110,110,0
('RegQueryValueExW'; 'GetFullPathNameW'),111,111,0
('GlobalAlloc'; 'GetFullPathNameW'),111,111,0
('RegQueryValueExW'; 'GetFileAttributesW'),112,112,0
('RegOpenKeyExW'; 'GetLongPathNameW'),112,112,0
('GetCurrentProcessId'; 'GetLongPathNameW'),112,112,0
('RegQueryValueW'; 'GetFullPathNameW'),111,111,0
('GlobalAlloc'; 'GetFileAttributesW'),112,112,0
('GetFileAttributesW'; 'GetCurrentThreadId'),112,112,0
('RegQueryValueW'; 'GetFileAttributesW'),112,112,0
('GetFullPathNameW'; 'IsBadStringPtrW'),111,111,0
('GetFullPathNameW'; 'LocalFree'),111,111,0
('RegQueryValueExW'; 'GetLongPathNameW'),112,112,0
('GetFullPathNameW'; 'GetCurrentThread'),111,111,0
('GlobalAlloc'; 'GetLongPathNameW'),112,112,0
