('RegCreateKeyExW'; 'IsBadReadPtr'),187,142,45
('RegSetValueExW'; 'GetFileAttributesW'),137,137,0
('GetFullPathNameW'; 'GetCurrentThreadId'),138,138,0
('GetFileAttributesW'; 'IsBadStringPtrW'),136,136,0
('GetFileAttributesW'; 'LocalFree'),139,139,0
('RegSetValueExW'; 'GetLongPathNameW'),134,134,0
('GetProcAddress'; 'GetProcAddress'),104,70,34
('GetFileAttributesW'; 'GetCurrentThread'),138,138,0
('IsBadReadPtr'; 'GetLongPathNameW'),134,134,0
('GetFullPathNameW'; 'LocalAlloc'),138,138,0
('GetFullPathNameW'; 'GetCurrentProcessId'),136,136,0
('GetFileAttributesW'; 'GlobalFree'),137,137,0
('GetFileAttributesW'; 'IsBadWritePtr'),138,138,0
('GetFileAttributesW'; 'RegOpenKeyExW'),138,138,0
('RegEnumValueW'; 'GetLongPathNameW'),134,134,0
('GetLongPathNameW'; 'LocalFree'),134,134,0
('GetFileAttributesW'; 'IsBadReadPtr'),139,139,0
('LocalAlloc'; 'GetFileAttributesW'),139,139,0
('GetFullPathNameW'; 'LoadLibraryA'),136,136,0
('LocalAlloc'; 'GetLongPathNameW'),134,134,0
('RegCloseKey'; 'GetFullPathNameW'),139,139,0
('IsBadWritePtr'; 'GetFullPathNameW'),139,139,0
('RegCloseKey'; 'GetFileAttributesW'),139,139,0
('IsBadWritePtr'; 'GetFileAttributesW'),138,138,0
('RegSetValueExW'; 'GlobalReAlloc'),156,131,25
('GetLongPathNameW'; 'IsBadWritePtr'),133,133,0
('IsBadStringPtrW'; 'GetFullPathNameW'),136,136,0
('GetLongPathNameW'; 'IsBadReadPtr'),133,133,0
('RegCloseKey'; 'GetLongPathNameW'),134,134,0
('IsBadWritePtr'; 'GetLongPathNameW'),134,134,0
('IsBadStringPtrW'; 'GetFileAttributesW'),137,137,0
('GetFileAttributesW'; 'GetFullPathNameW'),134,134,0
('RegQueryValueW'; 'GetLongPathNameW'),133,133,0
('IsBadStringPtrW'; 'GetLongPathNameW'),131,131,0
('GetFileAttributesW'; 'GetFileAttributesW'),137,137,0
('GetLongPathNameW'; 'GetCurrentThreadId'),133,133,0
('GetFullPathNameW'; 'GlobalFree'),133,133,0
('GlobalFree'; 'GetFullPathNameW'),132,132,0
('GetFileAttributesW'; 'GlobalUnlock'),132,132,0
('GetFullPathNameW'; 'RegOpenKeyExW'),136,136,0
('GetFullPathNameW'; 'RegCloseKey'),138,138,0
('GlobalFree'; 'GetFileAttributesW'),134,134,0
('RegOpenKeyExA'; 'GetLongPathNameW'),134,134,0
('GetFileAttributesW'; 'GetEnvironmentVariableW'),137,137,0
('RegSetValueExW'; 'GetFullPathNameW'),136,136,0
('GetLongPathNameW'; 'RegSetValueExW'),133,133,0
('LocalFree'; 'GetLongPathNameW'),134,134,0
('GlobalFree'; 'GetLongPathNameW'),132,132,0
('GlobalLock'; 'GetFileAttributesW'),132,132,0
('GetFullPathNameW'; 'HeapFree'),139,139,0
('GetLongPathNameW'; 'LocalAlloc'),134,134,0
('IsBadReadPtr'; 'GetFullPathNameW'),139,139,0
('IsBadReadPtr'; 'GetFileAttributesW'),138,138,0
('GlobalLock'; 'GetLongPathNameW'),131,131,0
('GetLongPathNameW'; 'GlobalUnlock'),131,131,0
('GlobalSize'; 'GetFullPathNameW'),130,130,0
('RegEnumValueW'; 'GetFullPathNameW'),136,136,0
('GlobalSize'; 'GetFileAttributesW'),132,132,0
('RegSetValueExW'; 'GetEnvironmentVariableW'),162,136,26
('RegEnumValueW'; 'GetFileAttributesW'),138,138,0
('GetFileAttributesW'; 'CreateProcessW'),133,133,0
('GetLongPathNameW'; 'LoadLibraryA'),133,133,0
('GlobalSize'; 'GetLongPathNameW'),131,131,0
('GetFullPathNameW'; 'GetFileAttributesW'),135,135,0
('LocalAlloc'; 'GetFullPathNameW'),139,139,0
('GetFullPathNameW'; 'LoadLibraryExW'),130,130,0
('GetFullPathNameW'; 'GetLongPathNameW'),132,132,0
('GetFileAttributesW'; 'RegQueryValueExW'),138,138,0
('GetCurrentProcessId'; 'GetFullPathNameW'),139,139,0
('GetFileAttributesW'; 'HeapAlloc'),139,139,0
('RegOpenKeyExW'; 'GetFileAttributesW'),139,139,0
('GetCurrentProcessId'; 'GetFileAttributesW'),139,139,0
('GetFullPathNameW'; 'RegOpenKeyExA'),137,137,0
('RegSetValueExW'; 'GlobalSize'),157,132,25
('RegSetValueExW'; 'RegEnumValueW'),168,139,29
('RegQueryValueExW'; 'GetFullPathNameW'),139,139,0
('GlobalAlloc'; 'GetFullPathNameW'),135,135,0
('RegQueryValueExW'; 'GetFileAttributesW'),139,139,0
('RegOpenKeyExW'; 'GetLongPathNameW'),134,134,0
('GetCurrentProcessId'; 'GetLongPathNameW'),134,134,0
('RegQueryValueW'; 'GetFullPathNameW'),132,132,0
('GlobalAlloc'; 'GetFileAttributesW'),136,136,0
('GetFileAttributesW'; 'GetCurrentThreadId'),139,139,0
('RegQueryValueW'; 'GetFileAttributesW'),134,134,0
('GetFullPathNameW'; 'IsBadStringPtrW'),138,138,0
('GetFullPathNameW'; 'LocalFree'),138,138,0
('RegQueryValueExW'; 'GetLongPathNameW'),134,134,0
('GetFullPathNameW'; 'GetCurrentThread'),136,136,0
('GlobalAlloc'; 'GetLongPathNameW'),132,132,0
