GetEnvironmentVariableW, RegCreateKeyExW
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),113,113,0
('GlobalFree'; 'GetFileAttributesW'),134,134,0
('GetFullPathNameW'; 'GetFullPathNameW'),135,135,0
('GetFileAttributesW'; 'GetCurrentThread'),143,143,0
('GetFileAttributesW'; 'GlobalFree'),138,138,0
('GetFileAttributesW'; 'GetLongPathNameW'),136,136,0
('GetFileAttributesW'; 'GetCurrentProcessId'),140,140,0
('GetFileAttributesW'; 'IsBadStringPtrW'),135,135,0
('GetFileAttributesW'; 'RegCloseKey'),143,143,0
('GetFileAttributesW'; 'GetFullPathNameW'),136,136,0
('GetLongPathNameW'; 'RegOpenKeyExW'),136,136,0
('GlobalReAlloc'; 'GetFileAttributesW'),132,132,0
('LoadLibraryExW'; 'GetLongPathNameW'),130,130,0
('GetFileAttributesW'; 'RegQueryValueExW'),143,143,0
('IsBadReadPtr'; 'GetFileAttributesW'),140,140,0
('GetFileAttributesW'; 'RegOpenKeyExW'),143,143,0
('GlobalFree'; 'GetLongPathNameW'),132,132,0
('RegSetValueExW'; 'RegEnumValueW'),171,142,29
('GlobalFree'; 'GetFullPathNameW'),132,132,0
('GetLongPathNameW'; 'GetCurrentThreadId'),135,135,0
('GetFileAttributesW'; 'LocalFree'),143,143,0
('GetFullPathNameW'; 'RegOpenKeyExA'),138,138,0
('RegQueryValueW'; 'GetFileAttributesW'),136,136,0
('GlobalLock'; 'GetFileAttributesW'),133,133,0
('LoadLibraryA'; 'GlobalFree'),117,75,42
('GetFileAttributesW'; 'GetCurrentThreadId'),143,143,0
('GlobalReAlloc'; 'GetFullPathNameW'),134,134,0
('GetFileAttributesW'; 'RegEnumValueW'),142,142,0
('IsBadReadPtr'; 'GetLongPathNameW'),136,136,0
