('LoadLibraryA'; 'GlobalFree'),158,114,44
('GetFullPathNameW'; 'HeapAlloc'),108,108,0
('RegEnumKeyW'; 'GetFileAttributesW'),98,98,0
('GetFileAttributesW'; 'RegOpenKeyExA'),109,109,0
('OpenProcess'; 'GetCurrentThreadId'),103,60,43
('GetEnvironmentVariableW'; 'SetThreadPriority'),104,62,42
('GlobalLock'; 'RegCreateKeyExW'),109,67,42
('RegOpenKeyExA'; 'ReadFile'),66,66,0
('RegSetValueExW'; 'GetFileAttributesW'),105,105,0
('GetFullPathNameW'; 'GetCurrentThreadId'),107,107,0
('CreateProcessW'; 'OpenProcess'),100,57,43
('OpenProcess'; 'RegSetValueExW'),98,57,41
('GetFileAttributesW'; 'IsBadStringPtrW'),103,103,0
('GetFileAttributesW'; 'LocalFree'),111,111,0
('RegSetValueExW'; 'GetLongPathNameW'),98,98,0
('GetFileAttributesW'; 'GetCurrentThread'),106,106,0
('RegCloseKey'; 'SetThreadPriority'),104,62,42
('OpenProcess'; 'LocalAlloc'),103,60,43
('IsBadWritePtr'; 'SetThreadPriority'),104,62,42
('GetEnvironmentVariableW'; 'OpenProcess'),101,58,43
('GlobalSize'; 'RegCreateKeyExW'),108,66,42
('IsBadReadPtr'; 'GetLongPathNameW'),99,99,0
('GetFullPathNameW'; 'LocalAlloc'),107,107,0
('IsBadStringPtrW'; 'SetThreadPriority'),104,62,42
('GetFullPathNameW'; 'GetCurrentProcessId'),106,106,0
('GetFileAttributesW'; 'GlobalFree'),110,110,0
('GetFileAttributesW'; 'IsBadWritePtr'),105,105,0
('GetFileAttributesW'; 'RegOpenKeyExW'),109,109,0
('RegEnumValueW'; 'GetLongPathNameW'),99,99,0
('GetLongPathNameW'; 'LocalFree'),101,101,0
('OpenProcess'; 'LoadLibraryA'),101,58,43
('GetFileAttributesW'; 'IsBadReadPtr'),107,107,0
('LocalAlloc'; 'GetFileAttributesW'),111,111,0
('GetFullPathNameW'; 'LoadLibraryA'),106,106,0
('LocalAlloc'; 'GetLongPathNameW'),101,101,0
('GetCurrentThread'; 'OpenProcess'),101,58,43
('RegCloseKey'; 'GetFullPathNameW'),108,108,0
('IsBadWritePtr'; 'GetFullPathNameW'),108,108,0
('RegCloseKey'; 'GetFileAttributesW'),112,112,0
('GlobalAlloc'; 'RegCreateKeyExW'),115,73,42
('IsBadWritePtr'; 'GetFileAttributesW'),106,106,0
('SetThreadPriority'; 'RegQueryValueExW'),105,63,42
('RegQueryValueW'; 'RegCreateKeyExW'),112,70,42
('RegSetValueExW'; 'SetThreadPriority'),104,62,42
('GetLongPathNameW'; 'IsBadWritePtr'),99,99,0
('IsBadStringPtrW'; 'GetFullPathNameW'),106,106,0
('SetThreadPriority'; 'HeapAlloc'),106,64,42
('RegCreateKeyExW'; 'IsBadStringPtrW'),106,64,42
('GetLongPathNameW'; 'IsBadReadPtr'),100,100,0
('RegCloseKey'; 'GetLongPathNameW'),101,101,0
('IsBadWritePtr'; 'GetLongPathNameW'),99,99,0
('IsBadStringPtrW'; 'GetFileAttributesW'),105,105,0
('IsBadReadPtr'; 'SetThreadPriority'),104,62,42
('GetFileAttributesW'; 'GetFullPathNameW'),102,102,0
('RegQueryValueW'; 'GetLongPathNameW'),97,97,0
('IsBadStringPtrW'; 'GetLongPathNameW'),97,97,0
('SetThreadPriority'; 'GetCurrentThreadId'),106,64,42
('GetFileAttributesW'; 'GetFileAttributesW'),108,108,0
('RegSetValueExW'; 'OpenProcess'),100,57,43
('OpenProcess'; 'RegQueryValueExW'),101,58,43
('GlobalSize'; 'SetThreadPriority'),103,61,42
('OpenProcess'; 'HeapAlloc'),103,60,43
('RegEnumValueW'; 'SetThreadPriority'),103,61,42
('OpenProcess'; 'RegCloseKey'),102,59,43
('SetThreadPriority'; 'RegSetValueExW'),99,58,41
('IsBadReadPtr'; 'OpenProcess'),102,59,43
('GetLongPathNameW'; 'GetCurrentThreadId'),100,100,0
('GetFullPathNameW'; 'GlobalFree'),105,105,0
('RegCreateKeyExW'; 'SetThreadPriority'),100,58,42
('RegCreateKeyExW'; 'IsBadWritePtr'),114,72,42
('GlobalFree'; 'GetFullPathNameW'),102,102,0
('GetFileAttributesW'; 'GlobalUnlock'),102,102,0
('GetFullPathNameW'; 'RegOpenKeyExW'),107,107,0
('GetFullPathNameW'; 'RegCloseKey'),107,107,0
('RegCreateKeyExW'; 'IsBadReadPtr'),115,73,42
('SetThreadPriority'; 'LocalAlloc'),106,64,42
('GlobalFree'; 'GetFileAttributesW'),103,103,0
('RegOpenKeyExA'; 'GetLongPathNameW'),100,100,0
('LocalAlloc'; 'SetThreadPriority'),104,62,42
('GetFileAttributesW'; 'GetEnvironmentVariableW'),104,104,0
('RegSetValueExW'; 'GetFullPathNameW'),99,99,0
('OpenProcess'; 'HeapFree'),103,60,43
('GetLongPathNameW'; 'RegSetValueExW'),96,96,0
('LocalFree'; 'GetLongPathNameW'),101,101,0
('GlobalFree'; 'GetLongPathNameW'),100,100,0
('RegEnumValueW'; 'OpenProcess'),101,58,43
('GlobalLock'; 'GetFileAttributesW'),101,101,0
('GetFullPathNameW'; 'HeapFree'),108,108,0
('GetLongPathNameW'; 'LocalAlloc'),101,101,0
('IsBadReadPtr'; 'GetFullPathNameW'),108,108,0
('GetCurrentProcessId'; 'SetThreadPriority'),104,62,42
('IsBadReadPtr'; 'GetFileAttributesW'),106,106,0
('GlobalLock'; 'GetLongPathNameW'),99,99,0
('LocalAlloc'; 'OpenProcess'),103,60,43
('RegQueryValueExW'; 'SetThreadPriority'),104,62,42
('SetThreadPriority'; 'LoadLibraryA'),103,62,41
('GetLongPathNameW'; 'GlobalUnlock'),97,97,0
('GlobalUnlock'; 'RegCreateKeyExW'),109,67,42
('GlobalSize'; 'GetFullPathNameW'),97,97,0
('GlobalAlloc'; 'SetThreadPriority'),104,62,42
('OpenProcess'; 'RegCreateKeyExW'),100,58,42
('RegQueryValueW'; 'SetThreadPriority'),103,61,42
('RegEnumValueW'; 'GetFullPathNameW'),101,101,0
('GlobalSize'; 'GetFileAttributesW'),98,98,0
('RegEnumValueW'; 'GetFileAttributesW'),108,108,0
('RegCreateKeyExW'; 'RegSetValueExW'),115,73,42
('GetFileAttributesW'; 'CreateProcessW'),97,97,0
('GetLongPathNameW'; 'LoadLibraryA'),100,100,0
('GlobalSize'; 'GetLongPathNameW'),97,97,0
('RegCloseKey'; 'OpenProcess'),103,60,43
('IsBadWritePtr'; 'OpenProcess'),102,59,43
('GetFullPathNameW'; 'GetFileAttributesW'),105,105,0
('LocalAlloc'; 'GetFullPathNameW'),108,108,0
('GetFullPathNameW'; 'LoadLibraryExW'),102,102,0
('RegQueryValueW'; 'OpenProcess'),100,57,43
('GetFullPathNameW'; 'GetLongPathNameW'),99,99,0
('CreateProcessW'; 'RegCreateKeyExW'),108,66,42
('IsBadStringPtrW'; 'OpenProcess'),102,59,43
('RegOpenKeyExA'; 'SetThreadPriority'),104,62,42
('GetFileAttributesW'; 'RegQueryValueExW'),109,109,0
('GetCurrentProcessId'; 'GetFullPathNameW'),108,108,0
('GetFileAttributesW'; 'HeapAlloc'),112,112,0
('RegOpenKeyExW'; 'GetFileAttributesW'),111,111,0
('GetCurrentProcessId'; 'GetFileAttributesW'),110,110,0
('LocalFree'; 'SetThreadPriority'),104,62,42
('GlobalFree'; 'SetThreadPriority'),104,62,42
('GetFullPathNameW'; 'RegOpenKeyExA'),105,105,0
('RegQueryValueExW'; 'GetFullPathNameW'),108,108,0
('GlobalAlloc'; 'GetFullPathNameW'),103,103,0
('RegQueryValueExW'; 'GetFileAttributesW'),111,111,0
('RegOpenKeyExW'; 'GetLongPathNameW'),100,100,0
('GetCurrentProcessId'; 'GetLongPathNameW'),99,99,0
('RegQueryValueW'; 'GetFullPathNameW'),97,97,0
('GlobalAlloc'; 'GetFileAttributesW'),109,109,0
('RegOpenKeyExA'; 'OpenProcess'),102,59,43
('GetFileAttributesW'; 'GetCurrentThreadId'),111,111,0
('GlobalLock'; 'SetThreadPriority'),103,61,42
('OpenProcess'; 'GetCurrentThread'),101,58,43
('SetThreadPriority'; 'RegCloseKey'),106,64,42
('RegQueryValueW'; 'GetFileAttributesW'),100,100,0
('GetFullPathNameW'; 'IsBadStringPtrW'),107,107,0
('GetFullPathNameW'; 'LocalFree'),107,107,0
('RegQueryValueExW'; 'GetLongPathNameW'),100,100,0
('GetFullPathNameW'; 'GetCurrentThread'),103,103,0
('GlobalAlloc'; 'GetLongPathNameW'),101,101,0
('LocalFree'; 'OpenProcess'),103,60,43
('GlobalFree'; 'OpenProcess'),101,58,43
('HeapAlloc'; 'SetThreadPriority'),106,64,42
