GetCurrentThreadId, SetThreadPriority
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),97,97,0
('GlobalAlloc'; 'GetLongPathNameW'),118,118,0
('GetLongPathNameW'; 'GlobalUnlock'),118,118,0
('GetFileAttributesW'; 'RegOpenKeyExA'),121,121,0
('GetFullPathNameW'; 'GlobalUnlock'),118,118,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),118,118,0
('GlobalSize'; 'GetFileAttributesW'),118,118,0
('RegOpenKeyExA'; 'GetFileAttributesW'),121,121,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),118,118,0
('GetCurrentThread'; 'GetFileAttributesW'),121,121,0
('RegEnumValueW'; 'GetFileAttributesW'),119,119,0
('RegCloseKey'; 'GetLongPathNameW'),118,118,0
('RegCloseKey'; 'GetFullPathNameW'),119,119,0
('RegEnumKeyW'; 'GetFileAttributesW'),118,118,0
('GetCurrentThreadId'; 'GetLongPathNameW'),118,118,0
('GetFullPathNameW'; 'LoadLibraryExW'),114,114,0
('GetCurrentThreadId'; 'GetFullPathNameW'),119,119,0
('GetFullPathNameW'; 'RegSetValueExW'),118,118,0
('GetLongPathNameW'; 'GlobalFree'),118,118,0
('GlobalSize'; 'GetLongPathNameW'),118,118,0
('RegOpenKeyExW'; 'GetFileAttributesW'),121,121,0
('RegOpenKeyExA'; 'GetLongPathNameW'),118,118,0
('GetCurrentProcessId'; 'GetFileAttributesW'),121,121,0
('GetLongPathNameW'; 'IsBadStringPtrW'),118,118,0
('GetFullPathNameW'; 'HeapFree'),119,119,0
('GetLongPathNameW'; 'RegCloseKey'),118,118,0
('GlobalSize'; 'GetFullPathNameW'),117,117,0
('RegOpenKeyExA'; 'GetFullPathNameW'),119,119,0
('GetFullPathNameW'; 'GetCurrentThread'),119,119,0
('GetFullPathNameW'; 'GlobalFree'),118,118,0
('GetCurrentThread'; 'GetLongPathNameW'),118,118,0
('GetFullPathNameW'; 'GetLongPathNameW'),117,117,0
('GetFullPathNameW'; 'IsBadStringPtrW'),119,119,0
('GetFullPathNameW'; 'RegCloseKey'),119,119,0
('GetCurrentThread'; 'GetFullPathNameW'),119,119,0
('GlobalAlloc'; 'GetFileAttributesW'),121,121,0
('RegEnumValueW'; 'GetFullPathNameW'),118,118,0
('RegSetValueExW'; 'GetEnvironmentVariableW'),145,119,26
('RegQueryValueExW'; 'GetFileAttributesW'),121,121,0
('RegEnumKeyW'; 'GetLongPathNameW'),118,118,0
('GetLongPathNameW'; 'RegQueryValueExW'),117,117,0
('RegEnumKeyW'; 'GetFullPathNameW'),117,117,0
('HeapFree'; 'GetFileAttributesW'),121,121,0
('GetFileAttributesW'; 'HeapAlloc'),121,121,0
('GetFileAttributesW'; 'IsBadReadPtr'),120,120,0
('GetFullPathNameW'; 'RegQueryValueExW'),119,119,0
('GetFullPathNameW'; 'RegOpenKeyExW'),119,119,0
('GetLongPathNameW'; 'LoadLibraryA'),117,117,0
('RegOpenKeyExW'; 'GetLongPathNameW'),118,118,0
('HeapAlloc'; 'GetFileAttributesW'),121,121,0
('GetLongPathNameW'; 'LocalFree'),118,118,0
('GetFullPathNameW'; 'LoadLibraryA'),118,118,0
('RegOpenKeyExW'; 'GetFullPathNameW'),119,119,0
('GetFileAttributesW'; 'GetEnvironmentVariableW'),120,120,0
('GetCurrentProcessId'; 'GetFullPathNameW'),119,119,0
('GetFullPathNameW'; 'LocalFree'),119,119,0
('GetFileAttributesW'; 'LoadLibraryA'),119,119,0
('GlobalAlloc'; 'GetFullPathNameW'),119,119,0
('RegSetValueExW'; 'GetFileAttributesW'),119,119,0
('IsBadStringPtrW'; 'GetFileAttributesW'),119,119,0
('IsBadWritePtr'; 'GetFileAttributesW'),119,119,0
('RegQueryValueExW'; 'GetLongPathNameW'),118,118,0
('GetLongPathNameW'; 'LocalAlloc'),118,118,0
('RegQueryValueExW'; 'GetFullPathNameW'),119,119,0
('HeapFree'; 'GetLongPathNameW'),118,118,0
('GetFullPathNameW'; 'GetCurrentThreadId'),119,119,0
('GetFileAttributesW'; 'GlobalUnlock'),118,118,0
('GetFullPathNameW'; 'LocalAlloc'),119,119,0
('HeapFree'; 'GetFullPathNameW'),119,119,0
('GetFullPathNameW'; 'GetFileAttributesW'),118,118,0
('GlobalReAlloc'; 'GetLongPathNameW'),118,118,0
('GetFileAttributesW'; 'LocalAlloc'),120,120,0
('HeapAlloc'; 'GetLongPathNameW'),118,118,0
('GetFileAttributesW'; 'GetFileAttributesW'),120,120,0
('HeapAlloc'; 'GetFullPathNameW'),119,119,0
('GetLongPathNameW'; 'RegSetValueExW'),118,118,0
('GetLongPathNameW'; 'HeapFree'),118,118,0
('RegSetValueExW'; 'GetLongPathNameW'),118,118,0
('IsBadStringPtrW'; 'GetLongPathNameW'),116,116,0
('IsBadWritePtr'; 'GetLongPathNameW'),118,118,0
('GetLongPathNameW'; 'GetCurrentThread'),118,118,0
('RegSetValueExW'; 'GetFullPathNameW'),118,118,0
('IsBadStringPtrW'; 'GetFullPathNameW'),117,117,0
('GetFileAttributesW'; 'LoadLibraryExW'),115,115,0
('GetFullPathNameW'; 'CreateProcessW'),117,117,0
('IsBadWritePtr'; 'GetFullPathNameW'),119,119,0
('GetLongPathNameW'; 'GetCurrentProcessId'),118,118,0
('GetFileAttributesW'; 'RegSetValueExW'),120,120,0
('GetFileAttributesW'; 'CreateProcessW'),118,118,0
('GetFullPathNameW'; 'GetCurrentProcessId'),119,119,0
('GetFileAttributesW'; 'HeapFree'),121,121,0
('GlobalFree'; 'GetFileAttributesW'),120,120,0
('GetFullPathNameW'; 'GetFullPathNameW'),118,118,0
('GetFileAttributesW'; 'GetCurrentThread'),120,120,0
('GetFileAttributesW'; 'GlobalFree'),120,120,0
('GetFileAttributesW'; 'GetLongPathNameW'),118,118,0
('GetFileAttributesW'; 'GetCurrentProcessId'),120,120,0
('GetFileAttributesW'; 'IsBadStringPtrW'),120,120,0
('GetFileAttributesW'; 'RegCloseKey'),121,121,0
('GetFileAttributesW'; 'GetFullPathNameW'),118,118,0
('GetLongPathNameW'; 'RegOpenKeyExW'),118,118,0
('GlobalReAlloc'; 'GetFileAttributesW'),118,118,0
('LoadLibraryExW'; 'GetLongPathNameW'),112,112,0
('GetFileAttributesW'; 'RegQueryValueExW'),120,120,0
('IsBadReadPtr'; 'GetFileAttributesW'),119,119,0
('GetFileAttributesW'; 'RegOpenKeyExW'),120,120,0
('GlobalFree'; 'GetLongPathNameW'),118,118,0
('RegSetValueExW'; 'RegEnumValueW'),148,119,29
('GlobalFree'; 'GetFullPathNameW'),118,118,0
('GetLongPathNameW'; 'GetCurrentThreadId'),118,118,0
('GetFileAttributesW'; 'LocalFree'),120,120,0
('GetFullPathNameW'; 'RegOpenKeyExA'),118,118,0
('RegQueryValueW'; 'GetFileAttributesW'),118,118,0
('GlobalLock'; 'GetFileAttributesW'),118,118,0
('LoadLibraryA'; 'GlobalFree'),107,65,42
('GetFileAttributesW'; 'GetCurrentThreadId'),120,120,0
('GlobalReAlloc'; 'GetFullPathNameW'),118,118,0
('GetFileAttributesW'; 'RegEnumValueW'),119,119,0
('IsBadReadPtr'; 'GetLongPathNameW'),118,118,0
