('OpenProcess'; 'RegOpenKeyExA'),157,112,45
('GetLongPathNameW'; 'GlobalFree'),109,109,0
('GetLongPathNameW'; 'RegOpenKeyExW'),111,111,0
('GlobalReAlloc'; 'GetFileAttributesW'),109,109,0
('GetCurrentThreadId'; 'GetFullPathNameW'),111,111,0
('LoadLibraryA'; 'GlobalFree'),101,58,43
('GetFileAttributesW'; 'GetCurrentProcessId'),112,112,0
('GetCurrentThread'; 'GetFullPathNameW'),109,109,0
('GetFullPathNameW'; 'CreateProcessW'),108,108,0
('GetCurrentThread'; 'GetFileAttributesW'),110,110,0
('GetFileAttributesW'; 'LoadLibraryExW'),107,107,0
('GetFileAttributesW'; 'GetLongPathNameW'),111,111,0
('HeapFree'; 'GetFullPathNameW'),111,111,0
('GetFullPathNameW'; 'RegQueryValueExW'),111,111,0
('RegEnumKeyW'; 'GetFullPathNameW'),108,108,0
('HeapFree'; 'GetFileAttributesW'),112,112,0
('GetFullPathNameW'; 'HeapAlloc'),111,111,0
('RegEnumKeyW'; 'GetFileAttributesW'),109,109,0
('GetFileAttributesW'; 'RegOpenKeyExA'),111,111,0
('RegOpenKeyExA'; 'ReadFile'),91,91,0
('RegSetValueExW'; 'GetFileAttributesW'),109,109,0
('GetFullPathNameW'; 'GetCurrentThreadId'),111,111,0
('GetFileAttributesW'; 'IsBadStringPtrW'),112,112,0
('GetFileAttributesW'; 'LocalFree'),112,112,0
('RegSetValueExW'; 'GetLongPathNameW'),109,109,0
('GetProcAddress'; 'GetProcAddress'),86,52,34
('GetFileAttributesW'; 'GetCurrentThread'),109,109,0
('IsBadReadPtr'; 'GetLongPathNameW'),109,109,0
('GetFullPathNameW'; 'LocalAlloc'),111,111,0
('GetFullPathNameW'; 'GetCurrentProcessId'),111,111,0
('GetFileAttributesW'; 'GlobalFree'),111,111,0
('GetFileAttributesW'; 'IsBadWritePtr'),112,112,0
('GetFileAttributesW'; 'RegOpenKeyExW'),111,111,0
('RegEnumValueW'; 'GetLongPathNameW'),109,109,0
('GetLongPathNameW'; 'LocalFree'),111,111,0
('GetFileAttributesW'; 'IsBadReadPtr'),112,112,0
('LocalAlloc'; 'GetFileAttributesW'),112,112,0
('GetFullPathNameW'; 'LoadLibraryA'),111,111,0
('LocalAlloc'; 'GetLongPathNameW'),111,111,0
('RegCloseKey'; 'GetFullPathNameW'),111,111,0
('IsBadWritePtr'; 'GetFullPathNameW'),111,111,0
('RegCloseKey'; 'GetFileAttributesW'),112,112,0
('IsBadWritePtr'; 'GetFileAttributesW'),110,110,0
('GetLongPathNameW'; 'IsBadWritePtr'),111,111,0
('IsBadStringPtrW'; 'GetFullPathNameW'),109,109,0
('GetLongPathNameW'; 'IsBadReadPtr'),111,111,0
('RegCloseKey'; 'GetLongPathNameW'),111,111,0
('IsBadWritePtr'; 'GetLongPathNameW'),109,109,0
('IsBadStringPtrW'; 'GetFileAttributesW'),110,110,0
('GetFileAttributesW'; 'GetFullPathNameW'),110,110,0
('RegQueryValueW'; 'GetLongPathNameW'),109,109,0
('IsBadStringPtrW'; 'GetLongPathNameW'),107,107,0
('GetFileAttributesW'; 'GetFileAttributesW'),111,111,0
('GetLongPathNameW'; 'GetCurrentThreadId'),111,111,0
('GetFullPathNameW'; 'GlobalFree'),109,109,0
('GlobalFree'; 'GetFullPathNameW'),109,109,0
('GetFileAttributesW'; 'GlobalUnlock'),111,111,0
('GetFullPathNameW'; 'RegOpenKeyExW'),111,111,0
('GetFullPathNameW'; 'RegCloseKey'),111,111,0
('GlobalFree'; 'GetFileAttributesW'),110,110,0
('RegOpenKeyExA'; 'GetLongPathNameW'),110,110,0
('GetFileAttributesW'; 'GetEnvironmentVariableW'),110,110,0
('RegSetValueExW'; 'GetFullPathNameW'),108,108,0
('GetLongPathNameW'; 'RegSetValueExW'),109,109,0
('LocalFree'; 'GetLongPathNameW'),111,111,0
('GlobalFree'; 'GetLongPathNameW'),110,110,0
('GlobalLock'; 'GetFileAttributesW'),111,111,0
('GetFullPathNameW'; 'HeapFree'),111,111,0
('GetLongPathNameW'; 'LocalAlloc'),111,111,0
('IsBadReadPtr'; 'GetFullPathNameW'),111,111,0
('IsBadReadPtr'; 'GetFileAttributesW'),110,110,0
('GlobalLock'; 'GetLongPathNameW'),110,110,0
('GetLongPathNameW'; 'GlobalUnlock'),109,109,0
('GlobalSize'; 'GetFullPathNameW'),108,108,0
('RegEnumValueW'; 'GetFullPathNameW'),110,110,0
('GlobalSize'; 'GetFileAttributesW'),109,109,0
('RegEnumValueW'; 'GetFileAttributesW'),110,110,0
('GetFileAttributesW'; 'CreateProcessW'),109,109,0
('GetLongPathNameW'; 'LoadLibraryA'),111,111,0
('GlobalSize'; 'GetLongPathNameW'),109,109,0
('GetFullPathNameW'; 'GetFileAttributesW'),110,110,0
('LocalAlloc'; 'GetFullPathNameW'),111,111,0
('GetFullPathNameW'; 'LoadLibraryExW'),107,107,0
('GetFullPathNameW'; 'GetLongPathNameW'),109,109,0
('GetFileAttributesW'; 'RegQueryValueExW'),111,111,0
('GetCurrentProcessId'; 'GetFullPathNameW'),111,111,0
('GetFileAttributesW'; 'HeapAlloc'),112,112,0
('RegOpenKeyExW'; 'GetFileAttributesW'),112,112,0
('GetCurrentProcessId'; 'GetFileAttributesW'),111,111,0
('GetFullPathNameW'; 'RegOpenKeyExA'),111,111,0
('RegQueryValueExW'; 'GetFullPathNameW'),111,111,0
('GlobalAlloc'; 'GetFullPathNameW'),109,109,0
('RegQueryValueExW'; 'GetFileAttributesW'),111,111,0
('RegOpenKeyExW'; 'GetLongPathNameW'),111,111,0
('GetCurrentProcessId'; 'GetLongPathNameW'),110,110,0
('RegQueryValueW'; 'GetFullPathNameW'),108,108,0
('GlobalAlloc'; 'GetFileAttributesW'),111,111,0
('GetFileAttributesW'; 'GetCurrentThreadId'),112,112,0
('RegQueryValueW'; 'GetFileAttributesW'),109,109,0
('GetFullPathNameW'; 'IsBadStringPtrW'),111,111,0
('GetFullPathNameW'; 'LocalFree'),111,111,0
('RegQueryValueExW'; 'GetLongPathNameW'),110,110,0
('GetFullPathNameW'; 'GetCurrentThread'),108,108,0
('GlobalAlloc'; 'GetLongPathNameW'),110,110,0
