OpenProcess, GetCurrentThreadId
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),92,92,0
('GetLongPathNameW'; 'RegOpenKeyExW'),112,112,0
('GlobalReAlloc'; 'GetFileAttributesW'),110,110,0
('LoadLibraryExW'; 'GetLongPathNameW'),106,106,0
('GetFileAttributesW'; 'RegQueryValueExW'),112,112,0
('IsBadReadPtr'; 'GetFileAttributesW'),111,111,0
('GetFileAttributesW'; 'RegOpenKeyExW'),112,112,0
('GlobalFree'; 'GetLongPathNameW'),111,111,0
('RegSetValueExW'; 'RegEnumValueW'),139,110,29
('GlobalFree'; 'GetFullPathNameW'),110,110,0
('GetLongPathNameW'; 'GetCurrentThreadId'),112,112,0
('GetFileAttributesW'; 'LocalFree'),113,113,0
('GetFullPathNameW'; 'RegOpenKeyExA'),112,112,0
('RegQueryValueW'; 'GetFileAttributesW'),110,110,0
('GlobalLock'; 'GetFileAttributesW'),112,112,0
('LoadLibraryA'; 'GlobalFree'),103,60,43
('GetFileAttributesW'; 'GetCurrentThreadId'),113,113,0
('GlobalReAlloc'; 'GetFullPathNameW'),109,109,0
('GetFileAttributesW'; 'RegEnumValueW'),112,112,0
('IsBadReadPtr'; 'GetLongPathNameW'),110,110,0
