IsBadReadPtr, RegCreateKeyExW
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),113,113,0
('GlobalSize'; 'GetLongPathNameW'),131,131,0
('RegOpenKeyExW'; 'GetFileAttributesW'),144,144,0
('RegOpenKeyExA'; 'GetLongPathNameW'),136,136,0
('GetCurrentProcessId'; 'GetFileAttributesW'),144,144,0
('GetLongPathNameW'; 'IsBadStringPtrW'),133,133,0
('GetFullPathNameW'; 'HeapFree'),143,143,0
('GetLongPathNameW'; 'RegCloseKey'),136,136,0
('GlobalSize'; 'GetFullPathNameW'),130,130,0
('RegOpenKeyExA'; 'GetFullPathNameW'),142,142,0
('GetFullPathNameW'; 'GetCurrentThread'),140,140,0
('GetFullPathNameW'; 'GlobalFree'),135,135,0
('GetCurrentThread'; 'GetLongPathNameW'),136,136,0
('GetFullPathNameW'; 'GetLongPathNameW'),134,134,0
('GetFullPathNameW'; 'IsBadStringPtrW'),140,140,0
('GetFullPathNameW'; 'RegCloseKey'),142,142,0
('GetCurrentThread'; 'GetFullPathNameW'),139,139,0
('GlobalAlloc'; 'GetFileAttributesW'),137,137,0
('RegEnumValueW'; 'GetFullPathNameW'),138,138,0
('RegSetValueExW'; 'GetEnvironmentVariableW'),165,139,26
('RegQueryValueExW'; 'GetFileAttributesW'),144,144,0
('RegEnumKeyW'; 'GetLongPathNameW'),135,135,0
('GetLongPathNameW'; 'RegQueryValueExW'),135,135,0
('RegEnumKeyW'; 'GetFullPathNameW'),136,136,0
('HeapFree'; 'GetFileAttributesW'),144,144,0
('GetFileAttributesW'; 'HeapAlloc'),144,144,0
('GetFileAttributesW'; 'IsBadReadPtr'),139,139,0
('GetFullPathNameW'; 'RegQueryValueExW'),142,142,0
('GetFullPathNameW'; 'RegOpenKeyExW'),140,140,0
('GetLongPathNameW'; 'LoadLibraryA'),135,135,0
('RegOpenKeyExW'; 'GetLongPathNameW'),136,136,0
('HeapAlloc'; 'GetFileAttributesW'),144,144,0
('GetLongPathNameW'; 'LocalFree'),136,136,0
('GetFullPathNameW'; 'LoadLibraryA'),140,140,0
('RegOpenKeyExW'; 'GetFullPathNameW'),143,143,0
('GetFileAttributesW'; 'GetEnvironmentVariableW'),140,140,0
('GetCurrentProcessId'; 'GetFullPathNameW'),143,143,0
('GetFullPathNameW'; 'LocalFree'),142,142,0
('GetFileAttributesW'; 'LoadLibraryA'),142,142,0
('GlobalAlloc'; 'GetFullPathNameW'),136,136,0
('RegSetValueExW'; 'GetFileAttributesW'),142,142,0
('IsBadStringPtrW'; 'GetFileAttributesW'),142,142,0
('IsBadWritePtr'; 'GetFileAttributesW'),143,143,0
('RegQueryValueExW'; 'GetLongPathNameW'),136,136,0
('GetLongPathNameW'; 'LocalAlloc'),136,136,0
('RegQueryValueExW'; 'GetFullPathNameW'),143,143,0
('HeapFree'; 'GetLongPathNameW'),136,136,0
('GetFullPathNameW'; 'GetCurrentThreadId'),142,142,0
('GetFileAttributesW'; 'GlobalUnlock'),134,134,0
('GetFullPathNameW'; 'LocalAlloc'),142,142,0
('HeapFree'; 'GetFullPathNameW'),143,143,0
('GetFullPathNameW'; 'GetFileAttributesW'),139,139,0
('GlobalReAlloc'; 'GetLongPathNameW'),132,132,0
('GetFileAttributesW'; 'LocalAlloc'),144,144,0
('HeapAlloc'; 'GetLongPathNameW'),136,136,0
('GetFileAttributesW'; 'GetFileAttributesW'),142,142,0
('HeapAlloc'; 'GetFullPathNameW'),143,143,0
('GetLongPathNameW'; 'RegSetValueExW'),135,135,0
('GetLongPathNameW'; 'HeapFree'),136,136,0
('RegSetValueExW'; 'GetLongPathNameW'),136,136,0
('IsBadStringPtrW'; 'GetLongPathNameW'),133,133,0
('IsBadWritePtr'; 'GetLongPathNameW'),136,136,0
('GetLongPathNameW'; 'GetCurrentThread'),135,135,0
('RegSetValueExW'; 'GetFullPathNameW'),138,138,0
('IsBadStringPtrW'; 'GetFullPathNameW'),140,140,0
('GetFileAttributesW'; 'LoadLibraryExW'),135,135,0
('GetFullPathNameW'; 'CreateProcessW'),134,134,0
('IsBadWritePtr'; 'GetFullPathNameW'),143,143,0
('GetLongPathNameW'; 'GetCurrentProcessId'),134,134,0
('GetFileAttributesW'; 'RegSetValueExW'),144,144,0
('GetFileAttributesW'; 'CreateProcessW'),136,136,0
('GetFullPathNameW'; 'GetCurrentProcessId'),140,140,0
('GetFileAttributesW'; 'HeapFree'),144,144,0
('GlobalFree'; 'GetFileAttributesW'),134,134,0
('GetFullPathNameW'; 'GetFullPathNameW'),135,135,0
('GetFileAttributesW'; 'GetCurrentThread'),143,143,0
('GetFileAttributesW'; 'GlobalFree'),139,139,0
('GetFileAttributesW'; 'GetLongPathNameW'),136,136,0
('GetFileAttributesW'; 'GetCurrentProcessId'),142,142,0
('GetFileAttributesW'; 'IsBadStringPtrW'),136,136,0
('GetFileAttributesW'; 'RegCloseKey'),144,144,0
('GetFileAttributesW'; 'GetFullPathNameW'),136,136,0
('GetLongPathNameW'; 'RegOpenKeyExW'),136,136,0
('GlobalReAlloc'; 'GetFileAttributesW'),132,132,0
('LoadLibraryExW'; 'GetLongPathNameW'),130,130,0
('GetFileAttributesW'; 'RegQueryValueExW'),143,143,0
('IsBadReadPtr'; 'GetFileAttributesW'),143,143,0
('GetFileAttributesW'; 'RegOpenKeyExW'),143,143,0
('GlobalFree'; 'GetLongPathNameW'),132,132,0
('GlobalFree'; 'GetFullPathNameW'),132,132,0
('GetLongPathNameW'; 'GetCurrentThreadId'),135,135,0
('GetFileAttributesW'; 'LocalFree'),144,144,0
('GetFullPathNameW'; 'RegOpenKeyExA'),141,141,0
('RegQueryValueW'; 'GetFileAttributesW'),138,138,0
('GlobalLock'; 'GetFileAttributesW'),133,133,0
('LoadLibraryA'; 'GlobalFree'),118,76,42
('GetFileAttributesW'; 'GetCurrentThreadId'),144,144,0
('GlobalReAlloc'; 'GetFullPathNameW'),134,134,0
('GetFileAttributesW'; 'RegEnumValueW'),140,140,0
('IsBadReadPtr'; 'GetLongPathNameW'),136,136,0
