OpenProcess, RegSetValueExW
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),89,89,0
('GetLongPathNameW'; 'RegOpenKeyExW'),113,113,0
('GlobalReAlloc'; 'GetFileAttributesW'),113,113,0
('LoadLibraryExW'; 'GetLongPathNameW'),108,108,0
('GetFileAttributesW'; 'RegQueryValueExW'),113,113,0
('IsBadReadPtr'; 'GetFileAttributesW'),113,113,0
('GetFileAttributesW'; 'RegOpenKeyExW'),113,113,0
('GlobalFree'; 'GetLongPathNameW'),113,113,0
('RegSetValueExW'; 'RegEnumValueW'),141,113,28
('GlobalFree'; 'GetFullPathNameW'),112,112,0
('GetLongPathNameW'; 'GetCurrentThreadId'),113,113,0
('GetFileAttributesW'; 'LocalFree'),113,113,0
('GetFullPathNameW'; 'RegOpenKeyExA'),111,111,0
('RegQueryValueW'; 'GetFileAttributesW'),113,113,0
('GlobalLock'; 'GetFileAttributesW'),113,113,0
('LoadLibraryA'; 'GlobalFree'),98,57,41
('GetFileAttributesW'; 'GetCurrentThreadId'),113,113,0
('GlobalReAlloc'; 'GetFullPathNameW'),112,112,0
('GetFileAttributesW'; 'RegEnumValueW'),113,113,0
('IsBadReadPtr'; 'GetLongPathNameW'),113,113,0
