OpenProcess, RegOpenKeyExW
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),91,91,0
('IsBadStringPtrW'; 'GetLongPathNameW'),111,111,0
('IsBadWritePtr'; 'GetLongPathNameW'),113,113,0
('GetLongPathNameW'; 'GetCurrentThread'),113,113,0
('RegSetValueExW'; 'GetFullPathNameW'),112,112,0
('IsBadStringPtrW'; 'GetFullPathNameW'),112,112,0
('GetFileAttributesW'; 'LoadLibraryExW'),111,111,0
('GetFullPathNameW'; 'CreateProcessW'),112,112,0
('IsBadWritePtr'; 'GetFullPathNameW'),114,114,0
('GetLongPathNameW'; 'GetCurrentProcessId'),115,115,0
('GetFileAttributesW'; 'RegSetValueExW'),113,113,0
('GetFileAttributesW'; 'CreateProcessW'),113,113,0
('GetFullPathNameW'; 'GetCurrentProcessId'),114,114,0
('GetFileAttributesW'; 'HeapFree'),115,115,0
('GlobalFree'; 'GetFileAttributesW'),114,114,0
('GetFullPathNameW'; 'GetFullPathNameW'),114,114,0
('GetFileAttributesW'; 'GetCurrentThread'),113,113,0
('GetFileAttributesW'; 'GlobalFree'),114,114,0
('GetFileAttributesW'; 'GetLongPathNameW'),115,115,0
('GetFileAttributesW'; 'GetCurrentProcessId'),115,115,0
('GetFileAttributesW'; 'IsBadStringPtrW'),115,115,0
('GetFileAttributesW'; 'RegCloseKey'),115,115,0
('GetFileAttributesW'; 'GetFullPathNameW'),114,114,0
('GetLongPathNameW'; 'RegOpenKeyExW'),115,115,0
('GlobalReAlloc'; 'GetFileAttributesW'),113,113,0
('LoadLibraryExW'; 'GetLongPathNameW'),109,109,0
('GetFileAttributesW'; 'RegQueryValueExW'),115,115,0
('IsBadReadPtr'; 'GetFileAttributesW'),113,113,0
('GetFileAttributesW'; 'RegOpenKeyExW'),115,115,0
('GlobalFree'; 'GetLongPathNameW'),114,114,0
('RegSetValueExW'; 'RegEnumValueW'),142,113,29
('GlobalFree'; 'GetFullPathNameW'),113,113,0
('GetLongPathNameW'; 'GetCurrentThreadId'),115,115,0
('GetFileAttributesW'; 'LocalFree'),115,115,0
('GetFullPathNameW'; 'RegOpenKeyExA'),113,113,0
('RegQueryValueW'; 'GetFileAttributesW'),113,113,0
('GlobalLock'; 'GetFileAttributesW'),114,114,0
('LoadLibraryA'; 'GlobalFree'),102,59,43
('GetFileAttributesW'; 'GetCurrentThreadId'),115,115,0
('GlobalReAlloc'; 'GetFullPathNameW'),112,112,0
('GetFileAttributesW'; 'RegEnumValueW'),115,115,0
('IsBadReadPtr'; 'GetLongPathNameW'),113,113,0
